2026-03-26T19:35:52+00:00 CRITICAL syntax error, unexpected end of file CONTEXT: {"error":{"type":4,"file":"C:\xampp\htdocs\mycources\wp-content\themes\tutorstarter\functions.php","line":33},"remote-logging":true,"backtrace":[{"file":"C:\xampp\htdocs\mycources\wp-content\plugins\woocommerce\includes\class-woocommerce.php","line":481,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2026-03-26T19:43:44+00:00 CRITICAL syntax error, unexpected token ")", expecting ":" CONTEXT: {"error":{"type":4,"file":"C:\xampp\htdocs\mycources\wp-content\themes\tutorstarter\functions.php","line":33},"remote-logging":true,"backtrace":[{"file":"C:\xampp\htdocs\mycources\wp-content\plugins\woocommerce\includes\class-woocommerce.php","line":481,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2026-03-26T19:43:56+00:00 CRITICAL syntax error, unexpected token ")", expecting ":" CONTEXT: {"error":{"type":4,"file":"C:\xampp\htdocs\mycources\wp-content\themes\tutorstarter\functions.php","line":33},"remote-logging":true,"backtrace":[{"file":"C:\xampp\htdocs\mycources\wp-content\plugins\woocommerce\includes\class-woocommerce.php","line":481,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2026-03-26T19:44:43+00:00 CRITICAL syntax error, unexpected token ")", expecting ":" CONTEXT: {"error":{"type":4,"file":"C:\xampp\htdocs\mycources\wp-content\themes\tutorstarter\functions.php","line":33},"remote-logging":true,"backtrace":[{"file":"C:\xampp\htdocs\mycources\wp-content\plugins\woocommerce\includes\class-woocommerce.php","line":481,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2026-03-26T19:45:37+00:00 CRITICAL syntax error, unexpected double-quoted string "hello", expecting ":" CONTEXT: {"error":{"type":4,"file":"C:\xampp\htdocs\mycources\wp-content\themes\tutorstarter\functions.php","line":33},"remote-logging":true,"backtrace":[{"file":"C:\xampp\htdocs\mycources\wp-content\plugins\woocommerce\includes\class-woocommerce.php","line":481,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2026-03-26T19:45:57+00:00 CRITICAL syntax error, unexpected double-quoted string "hello", expecting ":" CONTEXT: {"error":{"type":4,"file":"C:\xampp\htdocs\mycources\wp-content\themes\tutorstarter\functions.php","line":33},"remote-logging":true,"backtrace":[{"file":"C:\xampp\htdocs\mycources\wp-content\plugins\woocommerce\includes\class-woocommerce.php","line":481,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2026-03-26T19:46:44+00:00 CRITICAL syntax error, unexpected double-quoted string "hello", expecting ":" CONTEXT: {"error":{"type":4,"file":"C:\xampp\htdocs\mycources\wp-content\themes\tutorstarter\functions.php","line":33},"remote-logging":true,"backtrace":[{"file":"C:\xampp\htdocs\mycources\wp-content\plugins\woocommerce\includes\class-woocommerce.php","line":481,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2026-03-26T19:46:44+00:00 CRITICAL syntax error, unexpected double-quoted string "hello", expecting ":" CONTEXT: {"error":{"type":4,"file":"C:\xampp\htdocs\mycources\wp-content\themes\tutorstarter\functions.php","line":33},"remote-logging":true,"backtrace":[{"file":"C:\xampp\htdocs\mycources\wp-content\plugins\woocommerce\includes\class-woocommerce.php","line":481,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2026-03-26T19:47:58+00:00 CRITICAL syntax error, unexpected double-quoted string "hello", expecting ":" CONTEXT: {"error":{"type":4,"file":"C:\xampp\htdocs\mycources\wp-content\themes\tutorstarter\functions.php","line":33},"remote-logging":true,"backtrace":[{"file":"C:\xampp\htdocs\mycources\wp-content\plugins\woocommerce\includes\class-woocommerce.php","line":481,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2026-03-26T19:48:44+00:00 CRITICAL syntax error, unexpected double-quoted string "hello", expecting ":" CONTEXT: {"error":{"type":4,"file":"C:\xampp\htdocs\mycources\wp-content\themes\tutorstarter\functions.php","line":33},"remote-logging":true,"backtrace":[{"file":"C:\xampp\htdocs\mycources\wp-content\plugins\woocommerce\includes\class-woocommerce.php","line":481,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2026-03-26T19:48:45+00:00 CRITICAL syntax error, unexpected double-quoted string "hello", expecting ":" CONTEXT: {"error":{"type":4,"file":"C:\xampp\htdocs\mycources\wp-content\themes\tutorstarter\functions.php","line":33},"remote-logging":true,"backtrace":[{"file":"C:\xampp\htdocs\mycources\wp-content\plugins\woocommerce\includes\class-woocommerce.php","line":481,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2026-03-26T19:49:44+00:00 CRITICAL syntax error, unexpected double-quoted string "hello", expecting ":" CONTEXT: {"error":{"type":4,"file":"C:\xampp\htdocs\mycources\wp-content\themes\tutorstarter\functions.php","line":33},"remote-logging":true,"backtrace":[{"file":"C:\xampp\htdocs\mycources\wp-content\plugins\woocommerce\includes\class-woocommerce.php","line":481,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2026-03-26T19:49:59+00:00 CRITICAL syntax error, unexpected double-quoted string "hello", expecting ":" CONTEXT: {"error":{"type":4,"file":"C:\xampp\htdocs\mycources\wp-content\themes\tutorstarter\functions.php","line":33},"remote-logging":true,"backtrace":[{"file":"C:\xampp\htdocs\mycources\wp-content\plugins\woocommerce\includes\class-woocommerce.php","line":481,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2026-03-26T19:50:46+00:00 CRITICAL syntax error, unexpected double-quoted string "hello", expecting ":" CONTEXT: {"error":{"type":4,"file":"C:\xampp\htdocs\mycources\wp-content\themes\tutorstarter\functions.php","line":33},"remote-logging":true,"backtrace":[{"file":"C:\xampp\htdocs\mycources\wp-content\plugins\woocommerce\includes\class-woocommerce.php","line":481,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
